author,description,format,genre,month,pages,publisher,rating,title,year
Celeste Ng,"<p> <i>Everyone in Shaker Heights was talking about it that summer: how Isabelle, the last of the Richardson children, had finally gone around the bend and burned the house down. </i> </p>",Hardcover,Fiction,September,338,Penguin Press,4.13,Little Fires Everywhere,2017
Fredrik Backman,"People say Beartown is finished. A tiny community nestled deep in the forest, it is slowly losing ground to the ever-encroaching trees. But down by the lake stands an old ice rink, built generations ago by the working men who founded town. And that rink is the reason people in Beartown believe tomorrow will be better than today. Their junior hockey team is about to compete",Hardcover,Fiction,April,418,Atria Books                          (first published September 2016,4.29,Beartown,2016
Gail Honeyman,No one’s ever told Eleanor that life should be better than fine. ,Hardcover,Fiction,May,327,Viking - Pamela Dorman Books,4.33,Eleanor Oliphant Is Completely Fine,2017
Sophie Kinsella,"<b>Part love story, part workplace dramedy, part witty critique of the false judgments we make in a social-media-obsessed world, this is New York Times bestselling author Sophie Kinsella’s most timely and sharply observed novel yet.</b>",Hardcover,Womens Fiction,February,439,The Dial Press,3.80,My Not So Perfect Life,2017
Ruth Hogan,"<b>A charming, clever, and quietly moving debut novel of endless possibilities and joyful discoveries that explores the promises we make and break, losing and finding ourselves, the objects that hold magic and meaning for our lives, and the surprising connections that bind us.</b>",Hardcover,Fiction,February,288,William Morrow,3.82,The Keeper of Lost Things,2017
Mohsin Hamid,"In a country teetering on the brink of civil war, two young people meet—sensual, fiercely independent Nadia and gentle, restrained Saeed. They embark on a furtive love affair and are soon cloistered in a premature intimacy by the unrest roiling their city. When it explodes, turning familiar streets into a patchwork of checkpoints and bomb blasts, they begin to hear whisper",Hardcover,Fiction,March,231,Riverhead                          (first published March 2nd 2017,3.81,Exit West,2017
Jesmyn Ward,Jesmyn Ward’s first novel since her National Book Award–winning ,Hardcover,Fiction,September,285,Scribner,4.04,"Sing, Unburied, Sing",2017
Kevin Kwan,"When Nicholas Young hears that his grandmother, Su Yi, is on her deathbed, he rushes to be by her bedside--but he's not alone. It seems the entire Shang-Young clan has convened from all corners of the globe, ostensibly to care for their matriarch but truly to stake claim on the massive fortune that Su Yi controls. ",Hardcover,Fiction,May,398,Doubleday,3.96,Rich People Problems,2017
Elin Hilderbrand,<br/>,Hardcover,Fiction,June,581,"Little, Brown and Company",3.89,The Identicals,2017
Elizabeth Strout,Short story collection ,Hardcover,Fiction,April,254,Random House,3.77,Anything Is Possible,2017
Viet Thanh Nguyen,"From a young Vietnamese refugee who suffers profound culture shock when he comes to live with two gay men in San Francisco, to a woman whose husband is suffering from dementia and starts to confuse her for a former lover, to a girl living in Ho Chi Minh City whose older half-sister comes back from America having seemingly accomplished everything she never will, the stories",Hardcover,Short Stories,February,209,Grove Press,3.89,The Refugees,2017
Laurie Frankel,This is how a family keeps a secret…and how that secret ends up keeping them.,Hardcover,Fiction,January,336,Flatiron Books                          (first published January 4th 2017,4.26,This Is How It Always Is,2017
Lisa Ko,"One morning, Deming Guo’s mother, an undocumented Chinese immigrant named Polly, goes to her job at the nail salon and never comes home. No one can find any trace of her.",Hardcover,Fiction,May,352,Algonquin Books,3.87,The Leavers,2017
Lesley Nneka Arimah,"A dazzlingly accomplished debut collection explores the ties that bind parents and children, husbands and wives, lovers and friends to one another and to the places they call home. ",Hardcover,Short Stories,April,232,Riverhead Books,4.09,What It Means When a Man Falls from the Sky,2017
Arundhati Roy,"<b>A dazzling, moving new novel by the internationally celebrated author of <i>The God of Small Things</i></b>",Hardcover,Fiction,June,444,Knopf Publishing Group,3.47,The Ministry of Utmost Happiness,2017
Kamila Shamsie,"The suspenseful and heartbreaking story of an immigrant family driven to pit love against loyalty, with devastating consequences ",Hardcover,Fiction,August,276,Riverhead Books,4.09,Home Fire,2017
Joshilyn Jackson,"With empathy, grace, humor, and piercing insight, the author of ",Hardcover,Fiction,July,342,William Morrow,3.99,The Almost Sisters,2017
Robin Sloan,"Lois Clary, a software engineer at a San Francisco robotics company, codes all day and collapses at night. When her favourite sandwich shop closes up, the owners leave her with the starter for their mouthwatering sourdough bread.",Hardcover,Fiction,September,259,"MCD Farrar, Straus and Giroux",3.75,Sourdough,2017
Gabriel Tallent,"Turtle Alveston is a survivor. At fourteen, she roams the woods along the northern California coast. The creeks, tide pools, and rocky islands are her haunts and her hiding grounds, and she is known to wander for miles. But while her physical world is expansive, her personal one is small and treacherous: Turtle has grown up isolated since the death of her mother, in the th",Hardcover,Fiction,August,417,Riverhead Books                          (first published April 29th 2017,3.65,My Absolute Darling,2017
Gabrielle Zevin,This is the story of five women . . .,Hardcover,Fiction,August,294,Algonquin Books,3.78,Young Jane Young,2017
Paula Hawkins,"In the last days before her death, Nel called her sister. Jules didn’t pick up the phone, ignoring her plea for help. Now Nel is dead. They say she jumped. And Jules has been dragged back to the one place she hoped she had escaped for good, to care for the teenage girl her sister left behind. But Jules is afraid. So afraid. Of her long-buried memories, of the old Mill Hous",Hardcover,Mystery,May,386,Riverhead Books,3.55,Into the Water,2017
